Number	Morph	Frequency
214	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	110
215	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Acc	107
216	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom+Verb+Pres+Cop+A3sg	106
217	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc	106
218	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc	105
219	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3sg	104
220	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Cond+A3sg	102
221	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Ins	101
222	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Dat	99
223	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Apos+Gen	97
224	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Gen	97
225	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adj+PastPart+P3sg	96
226	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2pl	96
227	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2pl+Cop+A3sg	95
228	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Ins	93
229	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Acc	91
230	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2pl+Nom	91
231	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Dat	91
232	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Ins	90
233	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Loc	90
234	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Ins	90
235	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Loc+Adj+Rel	88
236	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Equ	88
237	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Dat	87
238	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Prog1+A3sg	87
239	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Acc	86
240	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Loc+Adj+Rel	86
241	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Abl	85
242	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	85
243	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	84
244	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Nom	84
245	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Ins	83
246	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A3sg	83
247	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1pl+Cop+A3sg	82
248	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2sg+Cop+A3sg	80
249	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Dat	78
250	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Nom	77
251	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Nom	76
252	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Prog2+A3sg+Cop+A3sg	75
253	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Fut+A3sg	74
254	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Abl	73
255	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A2pl	73
256	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	72
257	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Gen	72
258	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A1pl	72
259	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl	70
260	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Abl	70
261	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Fut+A3sg	70
262	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Ins	69
263	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc+Adj+Rel	68
264	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Gen	68
265	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	67
266	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Narr+A3sg	67
267	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Loc	66
268	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Ins	66
269	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Acc	65
270	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	64
