Number	Morph	Frequency
220	Noun+NoHats+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	177
221	Adj+Noun+Ness+A3pl+P1pl+Dat	172
222	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Ins	171
223	Adj+Noun+Ness+A3sg+Pnon+Apos+Gen	167
224	Adj+Noun+Ness+A3sg+P1pl+Ins	163
225	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Ins	160
226	Adj+NoHats+Noun+Ness+A3pl+Pnon+Ins	159
227	Adj+Noun+Ness+A3sg+Pnon+Apos+Loc	158
228	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Nom	156
229	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3pl+Apos+Abl	155
230	Verb+Pos+Adj+PresPart+Noun+Ness+A3sg+Pnon+Nom	154
231	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Ins	153
232	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P2pl+Acc	152
233	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P2pl+Nom	152
234	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Acc	152
235	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Acc	148
236	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Gen	147
237	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+Cop+A3sg	146
238	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Abl	146
239	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Dat	143
240	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3pl+Apos+Dat	143
241	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Acc	141
242	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Nom	140
243	Adj+Noun+Ness+A3sg+P2pl+Ins	139
244	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	138
245	Adj+Noun+Ness+A3pl+P1pl+Abl	137
246	Adj+Noun+Ness+A3sg+P1pl+Nom+Verb+Pres+Cop+A3sg	137
247	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Gen	134
248	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Nom	132
249	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc+Verb+Pres+A1pl	131
250	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P1pl+Gen	131
251	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Loc	131
252	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Acc	128
253	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	126
254	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Acc	125
255	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	125
256	Adj+NoHats+Noun+Ness+A3pl+Pnon+Dat	124
257	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Nom+Verb+Pres+Cop+A3sg	124
258	Noun+NoHats+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	123
259	Adj+Noun+Ness+A3sg+P3sg+Nom+Verb+Cond+A3sg	122
260	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Acc	121
261	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Loc	121
262	Adj+Noun+Ness+A3sg+Pnon+Nom+Verb+Narr+A3sg	120
263	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	120
264	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	120
265	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	119
266	Adj+Noun+Ness+A3sg+Pnon+Nom+Adj+Without	119
267	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Acc	119
268	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	118
269	Adj+Noun+Ness+A3sg+Pnon+Apos+Ins	115
270	Adj+Noun+Ness+A3sg+P1pl+Loc	114
271	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	114
272	Adj+Noun+Ness+A3sg+P3sg+Loc+Verb+Past+A3sg	113
273	Adj+NoHats+Noun+Ness+A3pl+Pnon+Loc	112
274	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Loc	112
275	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Ins	112
276	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Equ	112
277	Adj+Noun+Ness+A3pl+P2pl+Gen	111
278	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	110
279	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Acc	105
280	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Loc+Adj+Rel	105
281	Adj+NoHats+Noun+Ness+A3sg+P3sg+Acc	102
282	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Acc	102
283	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Ins	102
284	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Dat	102
285	Noun+NoHats+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Ins	101
286	Adj+Noun+Ness+A3pl+P1sg+Acc	99
287	Adj+Noun+Ness+A3pl+Pnon+Nom+Verb+Past+A3sg	99
288	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P1sg+Acc	99
289	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Gen	98
290	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Apos+Ins	97
291	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Verb+Cond+A3sg	97
292	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Gen	97
293	Adj+Noun+Ness+A3sg+Pnon+Apos+Dat	96
294	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Nom	92
295	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	92
296	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Gen	91
297	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Dat	91
298	Adj+Noun+Ness+A3sg+Pnon+Apos+Acc	88
299	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P1pl+Abl	85
300	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Ins	84
