Number	Morph	Frequency
185	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3pl	141
186	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+P3sg+Gen	137
187	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Dat	135
188	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Dat	133
189	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Ins	133
190	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Ins	132
191	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Loc	131
192	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom+Verb+Cond+A3sg	128
193	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	126
194	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Acc	125
195	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	125
196	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Loc	124
197	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Dat	124
198	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Past+A3sg	122
199	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Loc	121
200	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	120
201	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	120
202	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Ins	119
203	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Loc+Adj+Rel	117
204	Verb+Pos+Noun+Agt+A3sg+P3sg+Loc	116
205	Verb+Pos+Noun+Agt+A3sg+Pnon+Apos+Dat	116
206	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3pl+Apos+Gen	113
207	Verb+Pos+Noun+Agt+A3sg+P1sg+Nom	113
208	Verb+Verb+Start+Pos+Noun+Agt+A3sg+Pnon+Gen	113
209	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Ins	112
210	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3pl	112
211	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Agt+A3sg+P3sg+Nom	112
212	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1pl	111
213	Adj+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Nom	109
214	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Cond+A2sg	106
215	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom	106
216	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	106
217	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Abl	105
218	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Acc	105
219	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Abl+Verb+Past+A3sg	103
220	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2sg+Dat	103
221	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Dat	102
222	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Cond+A2pl	101
223	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+P3sg+Abl	99
224	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Gen	98
225	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+P3sg+Dat	96
226	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom+Verb+Past+A1sg	95
227	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Ins	95
228	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Nom	92
229	Verb+Pos+Noun+Agt+A3pl+P3sg+Nom+Verb+Pres+Cop+A3sg	92
230	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	92
231	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	92
232	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Equ	91
233	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Gen	91
234	Noun+NoHats+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Nom	91
235	Verb+Pos+Noun+Agt+A3sg+Pnon+Apos+Acc	89
236	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Abl	88
237	Adj+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	86
238	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Cond+A2pl	86
239	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Ins	86
240	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Ins	85
